Galaxy	RA_deg  	DEC_deg	SBF	 NED-D	Virgo_kms	VHel_Mpc	D_mag	M_K_mag	A_B	ttype 	log_Re	Rmax	Epsilon_e	Epsilon_e2	Band	VSigma_e	VSigma_e2	LambdaR_e	LambdaR_e2	FS_e	FS_e2	Source	Class	Filter	Rb_asec	mu	alpha	beta	gamma	gamma_prime	RMS	Rgamma_asec	Rgamma_pc	Kinematic_Group	LABEL
NGC3458	164.006042	57.11697	0	0	0	1877	30.9	-23.12	0.04	-2	1.06	1.61	0.231	0.114	G	0.438	0.245	0.461	0.25	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F606W	1.73	18.06	1.4	2.4	0.56	0.59	0.02	-0.1	-14.98	regular-rotators	core
NGC3489	165.077454	13.901258	1	5	0	695	11.7	-22.99	0.07	-1.2	1.35	0.77	0.262	0.221	G	0.687	0.621	0.589	0.552	F	F	ACS (Krajnovic et al. 2013b)	power-law	F814W	0.41	14	0.64	4.84	-1.17	0.57	0.05	0.09	5.23	regular-rotators	core
NGC3499	165.79628	56.221664	0	0	0	1535	26.4	-21.88	0.04	0	0.94	2.03	0.139	0.143	G	0.323	0.236	0.318	0.227	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3522	166.668549	20.085621	0	1	0	1228	25.5	-21.67	0.1	-4.9	1.01	1.75	0.361	0.262	S	0.08	0.091	0.058	0.074	S	S	no imaging	not measured	no imaging						unknown					unknown
NGC3530	167.168411	57.23016	0	0	0	1894	31.2	-22	0.04	0	0.87	1.91	0.642	0.555	G	0.741	0.554	0.656	0.537	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3595	168.856461	47.447147	0	0	0	2177	34.7	-23.28	0.09	-3.3	1.15	1.1	0.507	0.376	G	0.456	0.278	0.51	0.301	F	F	Rest et al. (2001)	power-law	WFPC2: see Source	2.3	18.04	2.3	1.52	0.75	0.76		-0.1	-16.82	regular-rotators	core
NGC3599	168.862305	18.110369	1	3	0	839	19.8	-22.22	0.09	-2	1.37	0.65	0.08	0.08	G	0.273	0.241	0.282	0.239	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	1.25	17.45	50	1.45	0.75	0.75		0.04	3.84	regular-rotators	core
NGC3605	169.19426	18.017141	1	3	0	661	20.1	-21.83	0.09	-4.5	1.23	0.95	0.409	0.353	R	0.415	0.336	0.434	0.347	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	0.97	17.21	2.4	1.27	0.59	0.6		0.04	3.9	regular-rotators	core
NGC3607	169.227737	18.051809	1	4	0	942	22.2	-24.74	0.09	-3.1	1.59	0.6	0.185	0.194	G	0.283	0.294	0.209	0.228	F	F	no imaging	not measured	imaging shows internal structure						uncertain					uncertain
NGC3608	169.245697	18.148531	1	4	0	1226	22.3	-23.65	0.09	-4.8	1.47	0.49	0.19	0.19	G	0.054	0.054	0.043	0.043	S	S	Lauer et al. (2007)	core (flat)	WFPC2: see Source	0.48	15.73	0.9	1.5	0.09	0.17		0.18	19.27	KDCs (and counter-rotating cores)	core-less
